ID,名称,昵称,等级,职位,加入时间,上次登录时间,下线时间,本周功勋,累计功勋,斗技积分,累计勋章,赠送次数,受赠次数,今日任务完成次数,本周任务完成次数,道馆完成次数
58f87e170f0a7e365c4f83f5,ekt777,,60,成员,2018-11-09 09:36:11,2019-08-23 21:13:01,2019-08-23 21:44:43,0,7720,1000,52479,175,217,0,0,49
5833c238e048f66256087b1c,麦克尔杰克雷,,60,成员,2018-11-16 09:48:14,2019-08-27 20:08:30,2019-08-27 20:26:19,0,4784,1000,31436,89,312,0,0,16
5838d4404f3730421df61422,猫耳哆,,60,成员,2018-11-30 16:48:19,2019-09-01 00:01:59,2019-09-01 00:18:45,12,741,1000,42927,42,111,6,6,2
57f4ec7b30fe005a70f7b08a,うちはイタチ.,,60,成员,2018-12-08 00:22:24,2019-09-01 00:01:36,2019-09-01 00:18:31,60,295,1000,41793,48,154,0,0,0
583031446dff173ee31caec4,砂爆丶大蛇丸,,39,成员,2018-12-09 22:41:02,2019-08-31 21:58:33,2019-08-31 22:17:26,88,278,1000,14145,39,35,0,0,0
5c1656c0bf82c65112da9000,季睿,,54,成员,2018-12-16 23:52:35,2019-06-18 15:28:25,2019-06-18 15:49:29,0,2679,1000,9443,28,208,0,0,25
57de52c38dd18c2947b93b1d,季狸渡,,60,成员,2018-12-17 09:39:44,2019-08-29 13:39:01,2019-08-29 14:02:38,78,4864,1000,59182,100,238,0,30,16
5a5b5a4ebd72b66ec4f02a24,为了二秃子,,41,成员,2018-12-19 20:28:22,2019-06-28 17:52:17,2019-06-28 18:11:31,0,62,1000,5287,26,40,0,0,1
582ee9160a5b56445d083900,这游戏与我无缘,,60,成员,2018-12-26 16:15:20,2019-08-26 15:29:14,2019-08-26 15:45:27,0,240,1000,61294,20,135,0,0,0
57eca62f043bc25b26e6c5c7,凡尘～,,60,成员,2019-01-11 09:02:36,2019-09-01 07:26:08,2019-09-01 07:44:12,180,9888,1000,50656,79,330,10,70,28
57ee0f62c689292ed5fa8560,鸢尾清谈微微风,,60,成员,2019-01-24 16:16:57,2019-08-02 08:28:22,2019-08-02 08:54:52,0,2832,1000,43839,66,193,0,0,0
5802e144bf82c625cd109797,无言的万变香炉,,49,成员,2019-01-27 20:06:09,2019-06-27 19:45:48,2019-06-27 20:59:54,0,2856,1000,9892,27,109,0,0,6
5be2ba46c435c99ba59d3de9,birds,,60,成员,2019-01-28 09:45:11,2019-08-30 21:22:34,2019-08-30 22:58:53,135,11992,1000,33021,238,444,0,65,74
58835bede048f6095a8cbe73,没梦想的网瘾少年,,46,成员,2019-02-09 20:40:17,2019-08-28 18:56:02,2019-08-28 20:49:46,29,326,1000,18609,34,15,0,0,4
5874b49be804dc3d80c69fd7,非洲の茨木,,22,成员,2019-02-09 23:34:42,2019-08-24 12:25:21,2019-08-24 12:41:38,0,20,1000,1431,20,80,0,0,0
57f14167c689292eddc64833,Automata,,46,成员,2019-02-13 13:26:43,2019-08-31 22:46:01,2019-09-01 02:12:55,438,7056,1000,29691,358,250,30,176,23
58d22ce6c689291326a8ce03,卿云白雪,,59,成员,2019-02-15 21:13:12,2019-08-30 09:47:37,2019-08-30 11:18:55,260,9794,1000,19564,157,301,0,150,37
59be6201ba54c5569cb6561c,发火点发火点,,60,成员,2019-02-20 19:21:46,2019-08-31 16:19:59,2019-08-31 16:40:21,80,5074,1000,70414,169,167,0,30,34
5bb9ab504835ec40a958551e,甜凤梨宝宝,,40,成员,2019-02-21 15:48:57,2019-09-01 06:35:25,2019-09-01 07:15:23,360,5415,1000,5241,36,258,30,150,0
5842485d4b30445a0619b845,tenor,,60,成员,2019-02-26 06:42:43,2019-08-16 13:21:55,2019-08-16 13:38:47,0,175,1000,63354,9,2,0,0,0
57eb6dc7ba54c557e8dd9493,打你出屎,,47,成员,2019-03-01 07:16:29,2019-08-05 08:29:19,2019-08-05 08:46:06,0,1627,1000,13360,69,84,0,0,2
57fb6f39270f1a2665e42bd7,丢啊丢丢啊,,56,成员,2019-03-04 09:28:14,2019-09-01 03:57:50,2019-09-01 04:17:20,128,6134,1000,29732,110,83,0,60,24
57efc0343f8d045e0196705c,王权ツ富贵,,56,成员,2019-03-13 21:11:26,2019-08-31 23:27:12,2019-09-01 01:57:41,337,8232,1000,16722,265,313,1,144,15
59deeaeceb87676b94888c66,不缩头的小乌龟,,60,成员,2019-03-20 15:09:52,2019-07-02 00:32:54,2019-07-02 00:55:36,0,259,1000,42961,4,116,0,0,1
580f6b64f1f82011ecef859f,丢丢耶,,35,成员,2019-03-24 07:45:51,2019-08-18 15:29:11,2019-08-18 15:47:21,0,95,1000,1964,1,8,0,0,0
57f0820bac74bd1418db6027,麦田纯之风,,60,成员,2019-03-24 13:34:39,2019-09-01 00:52:28,2019-09-01 01:08:02,10,143,1000,69126,73,80,0,0,0
5c97085a270f1a2f4b514238,斗罗大陆,,43,成员,2019-03-24 19:30:08,2019-08-31 12:37:32,2019-08-31 13:29:09,0,4071,1000,12901,13,286,0,0,11
5a689912a5e72a06f3b1dbb1,沂「希」,,44,成员,2019-03-30 20:12:05,2019-08-24 19:33:06,2019-08-24 20:22:04,0,1639,1000,6827,66,160,0,0,11
58ba2e0a287a9f4852624114,美味的冥界剑客,,60,成员,2019-03-30 21:24:44,2019-08-27 08:46:29,2019-08-27 09:11:50,0,4840,1000,40918,222,134,0,0,9
5804a3c5f1f82019bed355b9,余生不再见K,,60,成员,2019-04-01 22:02:52,2019-09-01 00:02:08,2019-09-01 00:23:07,90,1748,1000,47023,22,191,0,50,2
58101a784835ec1fcb67f24b,那杯星巴克,,60,成员,2019-04-07 08:15:04,2019-08-31 09:08:35,2019-08-31 09:28:21,0,5715,1000,33070,72,213,0,0,35
59994eae7da7b058999e76c9,扑街芭比,,57,成员,2019-04-07 09:13:48,2019-08-19 11:54:23,2019-08-19 12:28:45,0,390,1000,19531,80,50,0,0,0
5816dae5ba54c51f151b2a43,Termina1,,60,成员,2019-04-12 16:20:12,2019-08-31 10:44:16,2019-08-31 11:16:57,40,125,1000,28308,3,29,0,0,0
59eea015ba54c53da1430b63,打了个滚,,60,成员,2019-04-12 17:29:05,2019-08-01 08:43:29,2019-08-01 09:38:15,0,197,1000,28440,27,34,0,0,0
57f24a4ceb464f5dd7b7e8a5,胖墩墩,,57,成员,2019-04-14 17:56:10,2019-08-25 17:01:25,2019-08-25 18:11:20,0,3008,1000,27947,97,93,0,0,0
57efd86c00d16b5dfc78f18c,胖次柳快带飞,,60,成员,2019-04-18 19:01:29,2019-06-26 12:20:23,2019-06-26 13:12:51,0,1042,1000,63492,33,17,0,0,0
58d4f1ce31a50749a0487009,神无月⊙o,,59,成员,2019-04-20 18:17:16,2019-08-27 10:37:08,2019-08-27 10:52:29,0,3431,1000,33776,193,143,0,0,8
57f22ac2577f965dc2323d36,鱼♬♬♬♬,,60,成员,2019-04-22 12:48:26,2019-07-27 20:24:17,2019-07-27 20:45:22,0,617,1000,57277,70,70,0,0,1
5b76f804ba54c56df602661d,枋四七是狗,,32,成员,2019-05-01 03:38:10,2019-06-26 15:36:53,2019-06-26 17:45:08,0,20,1000,1824,7,2,0,0,0
5b64f6a08eae364821c185be,白玉京,,44,成员,2019-05-01 03:38:11,2019-06-26 15:33:33,2019-06-26 15:51:24,0,31,1000,9765,13,6,0,0,0
